Incident energy ; BROND-3.1 ; ENDF/B-VIII.0 ; JEFF-4.0 ; JENDL-4.0u ; TENDL-2019
Incident energy ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
5.20348E-5 ; 0.21138236313599998 ; 0.2112651927983397 ; 0.211082301 ; 0.2111595908608 ; 0.211204431
5.2891E-5 ; 0.20961886512 ; 0.2094967 ; 0.2093865624375671 ; 0.20939795593600002 ; 0.20950771272636476
5.3125E-5 ; 0.2091369 ; 0.20905144437910758 ; 0.20892311601896246 ; 0.2089165 ; 0.2090439985520706
5.37118E-5 ; 0.20803044869759998 ; 0.20793488028363888 ; 0.207760935 ; 0.2078112129088 ; 0.20788114608422528
5.371185E-5 ; 0.20803035441919998 ; 0.20793478514354893 ; 0.2077608405740698 ; 0.2078111187296 ; 0.207881047
5.54426E-5 ; 0.2047669076032 ; 0.20464151093047392 ; 0.204492287 ; 0.2045511057216 ; 0.204610607
5.5782E-5 ; 0.20412694582399996 ; 0.2039957 ; 0.2038811084858633 ; 0.203911817312 ; 0.2039990755865386
5.625E-5 ; 0.2032445 ; 0.20320120888965754 ; 0.20303835201969958 ; 0.2030303 ; 0.20315583250610278
5.722944E-5 ; 0.20154550852736 ; 0.20153848159667934 ; 0.201274614 ; 0.20133309502591998 ; 0.2013910760900727
5.722949E-5 ; 0.20154542179456 ; 0.20153839671515048 ; 0.20127452814470081 ; 0.20133300838432003 ; 0.201390986
5.907359E-5 ; 0.19834654266496 ; 0.19840779616689727 ; 0.198108013 ; 0.19813749289312 ; 0.198222643
5.9375E-5 ; 0.1978237 ; 0.19789611333448634 ; 0.19761451012900633 ; 0.1976152 ; 0.19772885514784838
6.097745E-5 ; 0.19525516494400003 ; 0.19517574521532338 ; 0.194990796 ; 0.1950493826992 ; 0.19510362591298433
6.09775E-5 ; 0.1952550848 ; 0.19517566033379455 ; 0.1949907179377026 ; 0.19504930264 ; 0.195103544
6.1564E-5 ; 0.19431499568 ; 0.19418 ; 0.1940750471893808 ; 0.194110208224 ; 0.19418734460461706
6.25E-5 ; 0.1928147 ; 0.1927205 ; 0.19261372098234034 ; 0.1926115 ; 0.1927251747255405
6.294238E-5 ; 0.19217957680352 ; 0.1920630171488 ; 0.191923057 ; 0.19197704922112002 ; 0.192034112
6.497092E-5 ; 0.18926721003968 ; 0.18904811985919995 ; 0.18890316 ; 0.18906776583808 ; 0.18901247047823364
6.497097E-5 ; 0.18926713825488004 ; 0.18904804554719998 ; 0.18890308902297945 ; 0.18906769412927998 ; 0.189012396
6.5625E-5 ; 0.18832815 ; 0.188076 ; 0.1879746670079337 ; 0.1881297 ; 0.18808343822461263
6.706453E-5 ; 0.18626142253712 ; 0.18608405899967997 ; 0.185931196 ; 0.18606516062272 ; 0.186038788
6.875E-5 ; 0.1838416 ; 0.1837518 ; 0.18364977617316633 ; 0.1836479 ; 0.18375605085702587
6.8874E-5 ; 0.18368631827200002 ; 0.1835863 ; 0.18348193215427108 ; 0.18349278096000002 ; 0.18358810992320396
6.922592E-5 ; 0.18324561870976 ; 0.1831191934809862 ; 0.18300558 ; 0.18305254311680003 ; 0.18311148271811847
6.922597E-5 ; 0.18324555609616 ; 0.18311912711554534 ; 0.18300551546554267 ; 0.18305248056880002 ; 0.183111415
6.925688E-5 ; 0.18320684836864 ; 0.1830781 ; 0.18296562026402122 ; 0.1830138133952 ; 0.18307149676113563
6.963975E-5 ; 0.182727390988 ; 0.1825742 ; 0.1824714541104616 ; 0.18253485834 ; 0.18257704525307977
7.04055E-5 ; 0.18176846370400002 ; 0.1815786 ; 0.18148310889645092 ; 0.18157693572000003 ; 0.1815881293226236
7.145665E-5 ; 0.18045213799119997 ; 0.18024487836761344 ; 0.180126401 ; 0.18026198911599997 ; 0.180230638
7.1937E-5 ; 0.17985060913599998 ; 0.1796354 ; 0.17953522408833492 ; 0.17966109048 ; 0.1796391195515482
7.375959E-5 ; 0.17756823071152 ; 0.17742996494417237 ; 0.177292124 ; 0.1773811032936 ; 0.1773947235716091
7.375964E-5 ; 0.17756816809791998 ; 0.17742990444139733 ; 0.17729206532329617 ; 0.17738104074560002 ; 0.177394662
7.5E-5 ; 0.1760149 ; 0.175929 ; 0.17583646059567154 ; 0.1758294 ; 0.1759382167154217
7.613642E-5 ; 0.17475934681855998 ; 0.17467404684831997 ; 0.174502833 ; 0.17457517415711998 ; 0.174603819
7.859018E-5 ; 0.17204835425023998 ; 0.17196434986528 ; 0.171757041 ; 0.17186704758048 ; 0.17185644198300193
